義項id,詞目漢字,解說,對應義項id,對應詞目漢字,對應解說
,出外,離家遠行到外地去。,,倒轉去,回去、返家。
,出外,離家遠行到外地去。,,轉來去,回家。
,外外,漠不關心、置身事外。,,致心,盡心盡力、專心致志。
,四正,四方端正、不偏不倚。,,東倒西歪,形容亂七八糟的樣子。
,四正,四方端正、不偏不倚。,,歪膏揤斜,歪七扭八。歪斜不正的樣子。
,四正,四方端正、不偏不倚。,,坦斜,斜著。
,四正,四方端正、不偏不倚。,,走斜,歪斜不正。
,外交,以和平的方法，處理對外的關係。通常或指一國的外交政策，或指處理外交的程序。,,內政,國家內部的政事。
,外行,形容人對某事沒經驗或不了解。,,內行,對某種事或工作有豐富的知識和經驗。
,冬尾,殘冬。見【年尾】nî-bué 條。,,年頭,一年的開始。
,四秀仔,零食、零嘴。,,正頓,正餐、三餐。定時所吃的早、中、晚三餐。
,出來,自內而出。發話者不在裡面。語氣完結時唸作tshut--lâi。,,入去,進去。從外面進到裡面。
,古板,死板。作風保守、固執不知變通。,,五仁,插科打諢。形容人行為滑稽、詼諧，逗人發笑。
,出門,離家外出。,,入門,進門。
,出門,離家外出。,,轉來去,回家。
,外科,臨床醫學的一大分支。主要處理身體的急性損傷，以及一些非手術治療不可的慢性疾病。,,內科,依照病人對症狀的敘述，以用藥、打針來治療身體內部的各種疾病，而不動外科手術。
,外衫,外衣。穿在外面的衣服。,,內䘥仔,無袖內衣。
,外衫,外衣。穿在外面的衣服。,,內衫,內衣。貼身穿在上身的衣服，通常較薄。
,外衫,外衣。穿在外面的衣服。,,內套,女用上身內襯。
,外面,外面、外頭、外邊。,,內底,裡面、內部。
,外面,外面、外頭、外邊。,,內面,裡面、內部。
,外套,在平常服裝外面所加的禦寒外衣，稱為「外套」。,,內套,女用上身內襯。
,出家,離開家庭生活，專心修持正道。多為佛、道用語。,,還俗,僧尼或出家的道士恢復為普通人的身分。
,外家,娘家。女子出嫁後，稱自己父母的家。,,內家,婆家。指女人出嫁後，丈夫的父母家。
,可能,或許，也許。,,定規,必定、必然、肯定。
,四常,時常、經常。,,一半擺仔,偶爾、一兩次。
,北部,指某一地的北方區域。,,下港,指臺灣南部地方。
,外場,賭博中，稱莊腳為「外場」。,,內場,賭博中，稱莊家為「內場」。
,外場,劇場、店家直接面對觀眾、客人的場所及人員。,,內場,店家不直接面對客人的場所及人員。如餐廳的廚房。
,可惡,令人厭惡反感。,,可愛,討人喜愛。
,四散,向四周分散。,,集中,集合、匯聚在一起。
,四散,向四周分散。,,集合,會合、聚在一起。
,四散,向四周分散。,,會合,照約定好的時間及地點彼此聚會、集合。
,可愛,討人喜愛。,,可惡,令人厭惡反感。
,北極,地球沿南北向的地軸旋轉，而此地軸的北端，稱為「北極」。,,南極,地球的最南端，南緯九十度上。
,出運,運氣由壞轉好。,,衰運,倒楣、霉運。運氣不好。
,出運,運氣由壞轉好。,,落衰,走背運、走霉運。
,北管,流行在中國閩南及臺灣的傳統音樂。因為由北曲演變而來，所以稱為「北管」。依照所使用的樂器，可分為西皮和福祿二派。西皮以弔鬼子胡琴為主奏樂器；福祿則用殼子弦。唱腔上，福祿部分保存梆子腔系統，西皮部分保存皮黃腔系統。,,南管,流行於福建、臺灣及東南亞地區的古樂。以古代樂曲逐步融合當地的民間音樂，歌者手拿拍板，以琵琶為主要伴奏，再配合洞簫、三弦、二弦、四塊板等樂器演奏。南管樂曲通常分為指、譜、曲三種，樂風平和端莊。
,出聲,用嘴發出聲音，常用來表示「說話」的意思。,,恬恬,安靜無聲。
,出聲,用嘴發出聲音，常用來表示「說話」的意思。,,噷噷,悶不作聲、不吭聲。
,巧,聰明的樣子。,,病,形容人又笨又傻，不聰明。
,幼,皮膚細嫩的樣子。,,粗,不平滑的。
,幼,嫩。用於形容蔬菜、肉類的口感。,,柯,形容在品嚐蔬菜或瓜果時，有纖維粗糙的感覺。
,幼,嫩。用於形容蔬菜、肉類的口感。,,粗絲,形容食用蔬果時，其纖維有粗糙的感覺。
,幼,細膩、精緻。常指東西的做工精緻或手藝精細。,,粗,不精緻的。
,正,中、不偏的、不歪斜的。,,歪,歪斜。
,正,真實的。,,假,不真實的、虛偽的。
,正,右邊。,,倒,左邊。
,母,釋義參見【母】bó 條。,,公,雄性的。
,尻川後,背後、後面。,,面頭前,眼前、面前。
,正手,右手。,,倒手,左手。
,正手,右手。,,䆀手,左手。
,正手爿,右邊。,,倒手爿,左邊、左側。
,正手爿,右邊。,,倒爿,左邊、左側。
,正爿,右邊。方位名。與「左邊」相對。,,倒手爿,左邊、左側。
,正爿,右邊。方位名。與「左邊」相對。,,倒爿,左邊、左側。
,正爿,右邊。方位名。與「左邊」相對。,,倒面,左面、左邊。
,本地,居住在某地區的人自稱該地為「本地」。,,外埠頭,外地、外鄉鎮。
,幼秀,指動作、行為、工作細膩。,,粗魯,粗暴魯莽。
,正身,正房。舊式合院房屋的中心建築部分，兩邊則為「護龍」。,,護龍,廂房。傳統三合院或四合院左右兩旁的廂房。
,未來,將來。相對於現在、過去來說。,,向時,從前、昔日。為「彼當時」(hit-tang-sî)的合音。
,未來,將來。相對於現在、過去來說。,,往日,過去、以往。過去的日子。
,未來,將來。相對於現在、過去來說。,,往年,過去、從前。過去的年歲。
,未來,將來。相對於現在、過去來說。,,往過,以往、以前。
,母的,雌的。雌性動植物。,,公的,雄性的動物、陽性的器物。
,必要,絕對需要，不可缺少的。,,毋免,不必、不用、不需要。
,正面,身體五官的那一面、物體的外表或上層。,,後面,人體或物體背面、靠後的部分。
,正面,身體五官的那一面、物體的外表或上層。,,倒面,背面、反面。
,平埔,平地、平野、平坦而空曠的原野。,,山坪,山坡地。山凹間或山麓上較平坦的地或可耕地。
,平埔番,平埔族原住民，共有十餘族。居住在平地的原住民，現在幾乎已經都被漢人同化了，只留少數的族群和漢人混居。「番」為早期之講法，因有歧視之義，應避免使用。,,生番,清代對未歸化臺灣原住民的稱呼，與熟番、平埔族相對應。
,失眠,夜晚不能自然入睡。,,落眠,熟睡、沉睡。
,失神,形容一個人精神恍惚，魂不守舍。,,精英,有元氣、有活力。
,平常,形容一點也沒有值得奇怪或驚訝的地方。,,特殊,特別。不同於一般，不平常的事物。
,平常,形容一點也沒有值得奇怪或驚訝的地方。,,怪奇,奇怪、奇特、蹊蹺。
,失敗,指事情沒有成功。,,成功,指事情有所成就，或達到目標。
,失望,希望落空，心裡難過。,,向望,盼望、希望。
,失望,希望落空，心裡難過。,,希望,期望、寄望。
,失望,希望落空，心裡難過。,,期待,希望、盼望。
,正途,正業、正路。正確的路途、行業。,,歹路,指不好的途徑、方向。
,正港,指正宗道地的，非冒名的。,,仿仔,贗品、仿冒品。仿製的東西。
,必然,確定不移。,,無一定,不一定、不確定。
,必然,確定不移。,,無定著,也許、說不定。
,必然,確定不移。,,無的確,說不定、不一定。
,正經,正派，謹守規矩。,,三八,傻氣、不正經。形容女性有點傻氣、粗野或言行舉止違悖常理、不正經。
,正經,正派，謹守規矩。,,三八氣,傻氣、不正經。形容女性有點傻氣、粗野或言行舉止違悖常理、不正經。
,正路,正當的途徑。引申為做好人，行好事。,,歹路,指不好的途徑、方向。
,正頓,正餐、三餐。定時所吃的早、中、晚三餐。,,四秀仔,零食、零嘴。
,正頓,正餐、三餐。定時所吃的早、中、晚三餐。,,點心,有別於正餐所吃的食物，如糕餅類、小吃等。
,民營化,為提升國家競爭力和事業經營效率，將國營事業轉變由民間出資經營。,,公家,屬於政府的、公眾的。
,幼麵麵,細嫩。,,粗耙耙,粗糙、不平滑的。
,生,東西還沒成熟。,,熟,指農作物或蔬果已經長成到可以收成的程度。
,生,沒有煮熟的。,,熟,食物加熱到可以吃的程度。
,田,可供耕作或作資源開發的土地。「田」裡有水，「田」是指「水田」，「園」是指「旱田」。,,園,指園地、旱地。
,白,顏色名。像雪或乳汁般素淨的顏色。,,烏,顏色名。指黑色。
,甘心,寧願、情願。自己願意，沒有半點勉強。,,毋甘願,不甘心、不甘願。
,甘心,寧願、情願。自己願意，沒有半點勉強。,,毋情願,不情不願。
,甘心,寧願、情願。自己願意，沒有半點勉強。,,毋願,不甘心。心裡不服氣，不情願。
,生份,陌生。沒見過的、不認識的或不熟悉的。,,熟似,熟識。素來認識。
,生份,陌生。沒見過的、不認識的或不熟悉的。,,有親,極重視親屬關係，常用於熱切邀請親友來做客的語境。
,生份人,陌生人。完全不認識的人。,,熟似人,熟人。認識、熟識的人。
,生存,活著、讓生命持續。,,死,生命結束，沒有生命跡象。
,生存,活著、讓生命持續。,,死亡,喪失生命。
,白肉,肥肉。,,赤肉,瘦肉、精肉。
,白肉,肥肉。,,精肉,瘦肉。
,白肉,肥肉。,,瘦肉,瘦肉、精肉。
,田佃,佃農、佃戶。租用別人的田地從事農業生產的農民。,,田僑仔,擁有許多田地，靠地價暴漲而致富的土財主。
,田佃,佃農、佃戶。租用別人的田地從事農業生產的農民。,,地主,土地所有權人。
,白汫無味,指食物味道淡，沒什麼滋味。,,厚味,形容東西的味道又濃又重。
,生狂,做事慌慌張張的樣子。,,小心,注意、留意。
,生狂,做事慌慌張張的樣子。,,細膩,做事小心謹慎。
,生狂,做事慌慌張張的樣子。,,謹慎,對自己的言行或外界事務格外小心仔細，以避免有不利或不幸的事情發生。
,白帖仔,訃聞。報告喪事的帖子。,,紅帖仔,喜帖。請人參加婚禮的請帖。
,生疏,陌生、不熟悉。,,熟似,熟識。素來認識。
,生疏,陌生、不熟悉。,,有親,極重視親屬關係，常用於熱切邀請親友來做客的語境。
,生番,清代對未歸化臺灣原住民的稱呼，與熟番、平埔族相對應。,,平埔番,平埔族原住民，共有十餘族。居住在平地的原住民，現在幾乎已經都被漢人同化了，只留少數的族群和漢人混居。「番」為早期之講法，因有歧視之義，應避免使用。
,生路,可逃生、活命的路徑或方法。,,死路,比喻死亡之路。
,生路,可逃生、活命的路徑或方法。,,絕路,死路，走不通的路。
,田僑仔,擁有許多田地，靠地價暴漲而致富的土財主。,,田佃,佃農、佃戶。租用別人的田地從事農業生產的農民。
,白蔥蔥,形容非常潔白。,,烏汁汁,又黑又髒。
,甘願,寧願、情願。自己願意，沒有半點勉強。,,毋甘願,不甘心、不甘願。
,甘願,寧願、情願。自己願意，沒有半點勉強。,,毋情願,不情不願。
,甘願,寧願、情願。自己願意，沒有半點勉強。,,毋願,不甘心。心裡不服氣，不情願。
,生鐵,生鐵、鑄鐵。含鐵的礦石，經鼓風爐冶鍊，所得到的粗鐵。含碳量較高，性質既硬且脆。可繼續鍛鍊，除去碳和雜質，來製造熟鐵或鋼等。,,熟鐵,鍛鐵。經過冶鍊以減少含碳量的鐵。
,白鑠鑠,白晃晃。形容很白的樣子。,,烏汁汁,又黑又髒。
,光,明亮、發亮的樣子。,,暗殕,灰暗無光的。
,先生,醫生。,,患者,病人。患有某種疾病的人。
,先生媽,巫婆。稱呼道教中從事各種儀式、代人祈禱、求鬼神賜福、解決問題的女性。,,司公,道士。民間一般分烏頭道士及紅頭道士。烏頭道士頭包烏網巾，戴道冠，穿道袍，腳穿普通鞋及朝鞋；而紅頭道士則頭包紅巾戴額帽，身穿普通衣，腰圍白裙，腳則赤足。一般紅頭道士是度生的，即為活人驅邪押煞、禳星補運；而烏頭道士除了度生外，也兼度死，為死人做功德超度亡魂。
,先生媽,巫婆。稱呼道教中從事各種儀式、代人祈禱、求鬼神賜福、解決問題的女性。,,道士,民間一般分烏頭道士及紅頭道士。烏頭道士頭包烏網巾，戴道冠，穿道袍，腳穿普通鞋及朝鞋；而紅頭道士則頭包紅巾戴額帽，身穿普通衣，腰圍白裙，腳則赤足。一般紅頭道士是度生的，即為活人驅邪押煞、禳星補運；而烏頭道士除了度生外，也兼度死，為死人做功德超度亡魂。
