義項id,詞目漢字,解說,對應義項id,對應詞目漢字,對應解說
,歹空,無利可圖、不好的事。,,利益,好處。
,歹空,無利可圖、不好的事。,,利頭,利益、好處。
,毋知,不知、不知道。,,知,明白、了解。
,毋知,不知、不知道。,,知影,知道、懂得。
,毋知影,不知、不知道。,,知,明白、了解。
,毋知影,不知、不知道。,,知影,知道、懂得。
,支持,協助、贊同。,,反對,不贊成。
,支持,協助、贊同。,,抗議,用抗爭的方式對別人的行為或一個被決定的措施提出反對的意見。
,毋挃,不要。,,挃,要、欲。
,毋是,不是。,,是,表示肯定判斷語，用來說明主詞，一般後面跟著名詞。
,歹看,難看的、醜陋的。,,好看,看起來舒適、美觀。
,歹看,難看的、醜陋的。,,美麗,形容女子容貌漂亮、俏麗。
,手面,手掌。,,手盤,手背。
,毋值,不值得。,,值得,所付出的代價和所得到的回報相當。
,毋值,不如、比不上。,,值,比得過、比得上。
,毋准,不允許、不答應。,,允准,允許、准許。
,毋准,不允許、不答應。,,准,允許、許可。
,毋准,不允許、不答應。,,許可,准許、答應。
,毋准,不允許、不答應。,,答應,允許、承諾。
,日時,白天。,,暝,夜、晚。
,少缺,不缺、多得很。多用在反詰口氣。,,少,多的相反。大多用於可計數之實體性物質。
,少缺,不缺、多得很。多用在反詰口氣。,,缺欠,缺乏。
,天堂,信仰宗教者以為人死後居住的快樂世界。,,地獄,宗教上所指人死後亡靈受審判和處罰的地方。引申為充滿黑暗、痛苦的環境。
,毋情願,不情不願。,,甘心,寧願、情願。自己願意，沒有半點勉強。
,毋情願,不情不願。,,甘願,寧願、情願。自己願意，沒有半點勉強。
,毋情願,不情不願。,,情願,甘心、願意。
,毋通,不可以、不要。是一種語氣較委婉的勸說或請求。,,通,可以。
,歹喙,常說不得體、負面的話。,,好喙,嘴巴甜。
,歹喙斗,挑嘴。形容人對食物很挑剔。,,好喙斗,形容不挑食，什麼都吃。
,毋敢,不敢。心中怯懦，以致於不能付諸行動。,,敢,有膽識，毫不畏懼的。
,歹款,壞習慣。不懂禮教，多指吃東西的習慣或行為不好。,,好款,本義為脾氣好、教養好，現今常用在反諷，意思和「歹款」(pháinn-khuán)相同。
,天然,自然形成、天生的，不是人為的。,,人造,由人工製造而成的。
,毋著,不對。,,無毋著,沒錯。
,毋著,不對。,,著,對。
,文雅,優美、高雅。,,粗魯,粗暴魯莽。
,歹勢,不好意思、對不起、抱歉。,,好勢,好意思，常用在反詰的語氣。
,歹意,惡意。,,好意,美意、善意。
,月暗暝,暗夜、月黑天。沒有月光的夜晚。,,月光暝,月夜。有月光的夜晚。
,歹話,壞話。毀謗或攻訐他人的言論。,,好話,讚美、好聽的話。
,歹話,詛咒。不祥的言語、詛咒人家的言語。,,好話,吉祥話。
,歹路,指不好的途徑、方向。,,正途,正業、正路。正確的路途、行業。
,歹路,指不好的途徑、方向。,,正路,正當的途徑。引申為做好人，行好事。
,歹運,背運、倒楣。運氣不好。,,好運,運氣好。
,歹運,背運、倒楣。運氣不好。,,幸運,好運氣。
,夭壽,夭折。短命早死。,,長命,長壽、高壽。
,夭壽,夭折。短命早死。,,長歲壽,長壽、長命、高壽。
,夭壽,夭折。短命早死。,,長壽,長命、高壽。壽命很長。
,反對,不贊成。,,支持,協助、贊同。
,反對,不贊成。,,同意,贊成、認可。
,反對,不贊成。,,答應,允許、承諾。
,反對,不贊成。,,贊成,同意。
,欠數,欠帳。,,還數,還債。償還所積欠的債款。
,欠數,欠帳。,,還錢,償還所欠下的金錢。
,手盤,手背。,,手底,手掌。
,手盤,手背。,,手面,手掌。
,手盤,手背。,,手捗,手掌、手模。
,月頭,月初。每月起初的幾天。,,月尾,月底。指一個月的最後幾天。
,月頭,月初。每月起初的幾天。,,月底,月底。每個月的最後幾天。
,毋願,不甘心。心裡不服氣，不情願。,,甘心,寧願、情願。自己願意，沒有半點勉強。
,毋願,不甘心。心裡不服氣，不情願。,,甘願,寧願、情願。自己願意，沒有半點勉強。
,毋驚,不怕。不畏縮、不膽怯。,,驚,吃驚、害怕。
,牛母,母牛。,,牛犅,公牛。
,牛犅,公牛。,,牛母,母牛。
,主人,擺設宴席款待賓客的人。,,人客,客人、賓客、顧客。
,代先,事先、預先。,,事後,事務已成定局之後，或事情發生之後。
,代先,事先、預先。,,後來,指一段時間之後。
,代先,事先、預先。,,落尾,後來、最後。
,代先,最前頭。,,押後,殿後，在最後面。
,代先,最前頭。,,押尾後,殿後。走在最後面。
,以前,指早於某一段時間之前的時間。,,以後,日後、以後、爾後 。指晚於某一段時間之後的時間。
,以前,指早於某一段時間之前的時間。,,將來,未來。尚未到的時候。
,以後,日後、以後、爾後 。指晚於某一段時間之後的時間。,,以前,指早於某一段時間之前的時間。
,以後,日後、以後、爾後 。指晚於某一段時間之後的時間。,,向時,從前、昔日。為「彼當時」(hit-tang-sî)的合音。
,以後,日後、以後、爾後 。指晚於某一段時間之後的時間。,,往日,過去、以往。過去的日子。
,以後,日後、以後、爾後 。指晚於某一段時間之後的時間。,,往年,過去、從前。過去的年歲。
,以後,日後、以後、爾後 。指晚於某一段時間之後的時間。,,往過,以往、以前。
,以後,日後、以後、爾後 。指晚於某一段時間之後的時間。,,以早,以前、從前。
,以後,日後、以後、爾後 。指晚於某一段時間之後的時間。,,起去,以前，時間回溯到過去、過往。
,仝款,同樣、相像。一樣，沒有差別。,,別款,別的樣式。
,冬,一年中的第四季。,,夏,一年中的第二季。
,北,方位名。與「南」相對。,,南,方位名。早晨面朝太陽時，右手的一邊。與「北」相對。
,古,過去久遠的時代。,,今,此時、現在。
,外,方位名。不在特定範圍之內均稱為「外」。相對於「內」而言。,,內,裡。裡面。
,外,方位名。不在特定範圍之內均稱為「外」。相對於「內」而言。,,內,裡。裡面。
,外,非本國的。,,內,指國內的政務。
,外人,沒有親屬關係的人。,,親人,親人、至親。關係親近的親屬。
,外人,沒有親屬關係的人。,,厝內人,家眷。指眷屬。
,出口,將本國貨物販售運送至國外。,,進口,入口、輸入。外國或外地的東西輸入、賣到本地。
,外口,外面。外頭、外邊。,,內底,裡面、內部。
,外口,外面。外頭、外邊。,,內面,裡面、內部。
,司公,道士。民間一般分烏頭道士及紅頭道士。烏頭道士頭包烏網巾，戴道冠，穿道袍，腳穿普通鞋及朝鞋；而紅頭道士則頭包紅巾戴額帽，身穿普通衣，腰圍白裙，腳則赤足。一般紅頭道士是度生的，即為活人驅邪押煞、禳星補運；而烏頭道士除了度生外，也兼度死，為死人做功德超度亡魂。,,先生媽,巫婆。稱呼道教中從事各種儀式、代人祈禱、求鬼神賜福、解決問題的女性。
,冬天,一年四季中最後一個季節，氣候寒冷。,,熱人,夏天。一年四季中的第二季。
,冬天,一年四季中最後一個季節，氣候寒冷。,,熱天,夏天。一年四季中的第二個季節，一般而言氣候較熱。
,北爿,北邊。北方。,,南爿,南邊。南方。
,出外,離家遠行到外地去。,,轉來,回來。
