詞目id,詞目漢字,對應詞目id,對應詞目漢字
,高粱酒,,高粱的
,馬鈴薯,,番仔番薯
,馬齒豆,,蠶豆
,馬齒豆,,齒豆
,陣頭,,子弟班
,陣頭,,子弟團
,骨頭烌,,骨烌
,剪布,,裁布
,剪布,,鉸布
,偷生的,,私生子
,偷生的,,偷生
,做旬,,做七
,假死假活,,假死
,假死假活,,激悾激戇
,停跤,,休息
,停跤,,歇睏
,假影,,假意
,偌濟,,多少
,匾,,匾額
,動工,,開工
,參考冊,,參考書
,啉茶,,食茶
,啉酒,,食酒
,商場,,生理場
,國中,,初中
,夠本,,夠工
,夠氣,,過癮
,夠氣,,煞氣
,宿怨,,積怨
,密婆,,夜婆
,密婆,,日婆
,婊間,,查某間
,婊間,,趁食間
,婊間,,暗間仔
,婊間,,跤梢間仔
,婊間,,花間
,婊間,,娼寮
,婊頭,,娼頭
,婊頭,,媌母
,婊頭,,媌頭
,得人疼,,得人惜
,得人惜,,得人疼
,崎仔,,山坪
,崎仔,,崎
,強欲,,強強
,強搶,,搶劫
,得罪,,得失
,強辯,,愛諍
,惜囝,,疼囝
,惜面皮,,惜面底皮
,悾悾,,怐怐
,悾悾,,歁歁
,悾悾,,戇戇
,悾顛,,瘋顛
,挲鹽,,抹鹽
,挲鹽,,捋鹽
,捲心白,,捲心白菜
,掘仔,,尖喙掘仔
,掘仔,,尖掘仔
,教示,,教訓
,掠交替,,叫交替
,掠交替,,討交替
,掠沙筋,,撓沙筋
,敏豆,,四季豆
,敏豆,,敏豆仔
,敗家,,破家
,掖秧仔,,掖粟種
,教訓,,教示
,掠猴,,掠姦
,掠筋,,放筋絡
,捷運,,地鐵
,推論,,推測
,推論,,推斷
,敗露,,破空
,敗露,,出破
,敗露,,敗洩
,斜,,趨
,斜目,,斜視
,斜角,,吊角
,斜角,,對角
,斜視,,斜目
,斜視,,斜眼
,添丁,,出丁
,添丁,,生後生
,深井,,天井
,深井,,天窗
,淺拖仔,,拖仔
,牽公,,牽猴
,球場,,球埕
,猜想,,料想
,猜想,,推測
,猜想,,猜測
,甜,,甘
,痔,,外痔
,痔,,痔瘡
,痔,,內痔
,眾人,,公眾
,眾人,,大眾
,甜言蜜語,,甘言蜜語
,甜言蜜語,,喙甜舌滑
,痔瘡,,外痔
,痔瘡,,痔
,痔瘡,,內痔
,符,,符仔
,符仔,,符
,符仔,,符仔籙
,符仔,,符籙
,祭孤,,孝孤
,祭孤,,祭孤魯
,窒喙空,,封喙
,硫磺,,磺
,紹介,,介紹
,細叔,,小叔
,細叔,,小叔仔
,粗桶,,尿桶
,粗桶,,屎桶
,粗桶,,屎桶仔
,細菌,,菌
,細菌,,菌種
,習慣,,慣勢
,組頭,,組仔頭
,脫種,,變種
,船艙,,船肚
,蚶,,蛤
,莫怪,,袂怪得
,術,,拐
,術,,騙
,被,,被仔
,規爿,,孤爿
,歸尾,,甲尾
,規模,,基模
,軟心,,心軟
,逐日,,每日
,逐日,,逐工
,逐日,,日日
,貧惰,,懶屍
,貧惰骨,,貧惰仙
